P00027739T0000|0 28|Serum gamma glutamyltransferase
P09632734A0943|54 56|p70
P09633879A0246|56 63|ferritin
P09633879A0246|51 63|serum ferritin
P09635276A1608|12 28|myosin phosphatase
P09637689A0150|68 80|RNA polymerase
P09638342T0000|17 18|L1
P09638485A0111|47 74|leukocyte alkaline phosphatase
P09638650A0169|197 200|ORF3
P09638650A0169|141 144|ORF1
P09638650A0169|169 172|ORF2
P09639074A0707|0 2|Sp1
P09639074A0707|99 120|NF-kappaB-proximal site
P09639074A0707|66 85|DNA-protein complexes
P09639558A0957|47 49|IgG
P09639558A0957|54 56|IgM
P09639565A0225|94 105|SV40 promoter
P09641167A1359|52 59|LDLr gene
P09641167A1359|11 18|TNF alpha
P09642200A0956|114 117|ahaK
P09642214A0244|89 118|mitogen-activated protein kinase
P09642214A0244|120 123|MAPK
P09642227A0000|0 11|Osteoadherin
P09642238A0532|22 47|erythroid-specific enhancer
P09642238A1285|59 61|Sp1
P09642238A1285|41 46|GATA-1
P09642276A0881|123 125|Fak
P09642276A0881|13 15|Fak
P09643546A0436|57 80|sigmaA-dependent promoter
P09645576A0148|5 9|GBV-C
P09645961A1158|109 116|nTPH gene
P09645961A1158|34 36|CBF
P09645961A1158|38 41|NF-Y
P09647233A0336|73 81|NF-kappa B
P09647240A0000|14 16|p53
P09647240A0000|177 179|p53
P09649315A0943|60 97|N-terminally truncated MIP-1 beta variants
P09649426A0636|14 16|PKA
P09649437A1140|91 96|GATA-1
P09649438A0182|188 193|P-TEFb
P09649438A0182|145 147|Tat
P09649438A0182|133 135|Tat
P09649501A0358|255 271|HSF1 heptad repeats
P09649537A0000|61 65|yGCN2
P09650299A1334|38 53|VirD2 omega domain
P09651367T0000|39 41|Ras
P09651367T0000|23 25|Ras
P09651383A0967|187 191|HNF-4
P09651383A0967|66 70|HNF-4
P09651383A0967|217 226|apoCII gene
P09651383A0967|103 107|HNF-4
P09652736A1205|116 118|E2F
P09652736A1205|45 47|p53
P09652736A1205|72 75|p300
P09652737A1244|185 188|AP-1
P09652737A1244|190 206|DNA binding complex
P09652742A0455|33 35|p53
P09653641A0471|0 12|Human isoforms
P09656485A0351|22 33|Lian elements
P09657003T0000|165 178|virus-like RNAs
P09658104T0000|63 65|YY1
P09658403A1207|91 93|CAT
P09658405A0000|66 97|orphan nuclear receptor superfamily
P09660823A0934|51 53|Akt
P09660823A0934|57 67|p70 S6 kinase
P09660836A0983|48 50|MEK
P09660838A0920|89 92|HSF1
P09660838A0920|57 69|protein kinase
P09661676T0000|36 39|IL-5
P09662339A0744|67 70|AP-1
P09662339A0744|117 124|CD44 mRNA
P09662339A0744|13 15|ras
P09662443A0402|83 94|caveolin gene
P09662443A0402|83 100|caveolin gene family
P09666114A0389|134 148|Sp1 binding sites
P09668063A0274|129 131|Ras
P09668063A0274|27 37|Ets proteins
P09668063A0274|40 42|Ras
P09669641A0425|49 55|amylase
P09669641A0425|23 31|serum PE-1
P09670943T0000|82 93|Fc gamma RIIB1
P09670943T0000|95 97|BCR
P09670943T0000|21 23|BCR
P09671464A0316|120 123|Snf1
P09671496A0557|89 98|c-Cbl locus
P09671579A1168|17 22|pax2.1
P09673436A0898|25 27|ANP
P09676419A0158|240 242|IgE
P09676419A0158|268 270|IgE
P09676419A0158|224 238|immunoglobulin E
P09677410A1059|36 38|p53
P09677410A1059|198 200|p53
P09678579A0768|35 43|AtCP1 gene
P09678837A0736|157 159|IgE
P09679066A1352|46 54|SR protein
P09679750A0304|97 111|cyclo-oxygenase
P09680994A0169|182 193|Z. mays r genes
P09681822A0520|9 26|c-erbB3 transcripts
P09685021A0127|243 251|collagen I
P09685346A0419|31 48|homeodomain protein
P09685346A0419|50 54|Pit-1
P09686344T0000|36 60|ornithine transcarbamylase
P09686603A0124|147 165|TCR beta gene segments
P09687498A1173|96 102|TRalpha
P09687511A1091|31 33|BCR
P09687511A1091|143 147|G-CSF
P09691031A1050|63 76|myosin proteins
P09693134A0782|128 130|DER
P09694860A0498|3 18|C-terminal region
P09694860A0498|55 70|N-terminal region
P09694860A0498|96 111|mammalian protein
P09694897T0000|120 133|bZIP-like motif
P09696819A0450|116 117|ER
P09698457A0778|35 45|CDPDeltaCR1
P09698457A0976|100 115|wild-type protein
P09701609A0116|75 80|PhLOP2
P09701821A1108|38 44|opuE P-1
P09703021A0000|45 50|AANATs
P09704296T0000|65 79|immunoglobulin E
P09704569T0000|81 106|steroid receptor superfamily
P09704857T0000|30 32|CD4
P09705258A0837|109 131|Escherichia coli lacZ gene
P09705324A0213|0 5|DNase I
P09708450A0648|131 135|G-CSF
P09710582A0535|147 150|AP-1
P09710582A0535|96 98|MEK
P09710582A0535|38 67|mitogen-activated protein kinase
P09710582A0535|103 105|MEK
P09710582A0535|16 19|AP-1
P09710589A1111|121 129|HTLV-1 LTR
P09710591A0981|29 33|c-fos
P09710591A0981|82 94|growth factors
P09710591A0981|162 170|MAP kinase
P09710591A0981|98 106|MAP kinase
P09710599A0310|129 140|ets-2 protein
P09710599T0000|65 69|ets-2
P09710621A0598|87 108|Neu juxtamembrane domain
P09712037A0470|135 137|Fyn
P09712037A0470|44 46|Fyn
P09712037A0470|210 230|lymphocyte Ag receptors
P09712297T0000|3 32|prothrombin gene G20210A mutation
P09712898A0911|19 22|SAPK
P09712898A0911|80 82|RIP
P09712898A0911|59 72|protein kinases
P09712898A0911|26 28|p38
P09712898T0000|88 90|JNK
P09712898T0000|30 58|stress-activated protein kinase
P09712898T0000|60 63|SAPK
P09712898T0000|95 97|p38
P09712915A0672|107 109|Sp1
P09712915A0672|118 121|NF-Y
P09712919A0307|95 98|CREB
P09713990T0000|79 91|wild-type TP53
P09713996A0262|16 19|MDR1
P09713996T0000|104 107|MDR1
P09715278A1526|94 97|FGF4
P09716179A0974|190 191|RB
P09716183A1036|151 173|TBP amino-terminal domain
P09716183A1036|0 2|TBP
P09717835A0941|57 65|IRS family
P09718372T0000|76 79|Spc1
P09718372T0000|80 88|MAP kinase
P09719636A1134|194 197|gp17
P09722161A3065|62 65|Igf2
P09722766A0706|69 73|BUP-4
P09723896A0000|190 192|RXR
P09724654A0761|81 90|Mcm protein
P09724654A1120|95 97|RPA
P09724754A0173|22 26|STATs
P09725854A1060|184 189|orf107
P09726979T0000|47 69|murine sphingosine kinase
P09726987T0000|53 74|transcription factor IID
P09726988A0275|33 42|M-CPT I mRNA
P09726991T0000|33 72|copper-responsive transcription factor Mac1
P09727046A0784|68 73|GATA-1
P09727046A0784|75 79|NF-E2
P09727046A0784|84 87|TAL1
P09729481A0000|132 134|Sp1
P09729481A0000|132 146|Sp1 binding sites
P09729481A1177|106 108|Sp1
P09729481A1177|20 22|Sp1
P09731513A1090|85 88|AP-1
P09731513A1090|73 81|NF-kappaB
P09731513A1090|130 138|HTLV-I Tax
P09731704A1472|107 108|E2
P09731705A2126|79 81|VDR
P09733815T0000|50 70|protein tyrosine kinase
P09735286A0599|68 77|Mu B protein
P09735366A1180|78 89|yeast protein
P09735366A1180|100 103|EPL1
P09735371A0227|109 134|LIM-type homeodomain protein
P09736697A0783|107 111|Stat3
P09736697A1107|190 194|Stat3
P09736697A1107|36 40|Stat3
P09736770A0351|114 116|Sp3
P09736770A0351|109 111|Sp1
P09737453A0557|57 69|IgG antibodies
P09737453A0557|92 106|platelet factor 4
P09738010A0305|31 37|insulin
P09738693T0000|9 15|rhG-CSF
P09743233A0526|19 22|AP-1
P09747873T0000|49 51|BCR
P09748261A0000|40 58|acyl-CoA synthetases
P09748286A0000|87 90|LIFR
P09751061A0000|52 56|Pit-1
P09751061A0000|73 89|homeodomain family
P09751114A0967|55 56|E3
P09751114A1987|68 71|MyoD
P09751166A1460|36 38|CRE
P09751166A1460|42 48|Sp1 site
P09753241A0524|70 84|myeloperoxidase
P09753241A0524|94 96|MPO
P09753769A0362|85 97|PBAN precursor
P09753774A1642|126 128|GF4
P09755199A0373|41 56|Scm mutant alleles
P09755199A0559|110 123|Scm null alleles
P09757012A0942|34 43|KS5 protein
P09759865A0673|262 272|PDGF-Ralpha
P09759865A0673|24 32|TNF-alpha
P09759865A0673|87 95|NF-kappaB
P09759865A0673|24 26|TNF
P09760243A0970|88 102|apoCIII promoter
P09760243A0970|27 31|HNF-4
P09760243A0970|19 23|ATF-2
P09761723A0226|0 5|GETS-1
P09761791A0489|29 39|SRZ proteins
P09763446A0000|17 19|Ypt
P09763446A0000|5 11|GTPases
P09763470A1756|130 132|Sp1
P09763470A1756|92 111|transcription factors
P09763470A1756|123 125|AP2
P09763470A1756|166 172|DBH gene
P09763470A1756|118 121|CREB
P09763522A2545|31 37|N-SMase
P09763522A2545|59 67|TNF-alpha
P09763607A0521|65 67|JNK
P09763607A0521|76 84|p38 kinase
P09765261A0000|64 66|Tax
P09765261A0000|171 174|CREB
P09765271A1108|199 238|insulin-like growth factor-binding protein 1
P09765271A1108|112 118|insulin
P09765271A1108|30 36|insulin
P09765388T0000|14 16|p53
P09765394A1590|129 131|CAT
P09765411A0991|170 178|ubiquitin
P09765411A0991|51 59|ubiquitin
P09769910A1700|49 51|TNF
P09770378A0641|0 3|EGFR
P09773981A0415b|51 55|Stat5
P09773981A0415b|67 71|Stat5
P09774444A0351|137 158|Sp1 recognition sequence
P09774484T0000|69 89|glutathione peroxidase
P09774641A0824|92 116|retinoblastoma gene product
P09774662A0958|48 51|E2F1
P09776360A0620|55 58|AP-1
P09776360A1781|0 8|NF-kappaB
P09784245T0000|71 84|protein kinase C
P09786197A0322|125 128|csrS
P09786926A1372|119 121|SRE
P09786932A1042|183 190|IFNA gene
P09787323A0000|29 32|IL-6
P09789025A0149|51 53|SRF
P09789025A0149|61 64|RhoA
P09790499A0545|31 39|hBub1 mRNA
P09790771A1032|50 53|Gng3
P09790986A0689|117 127|human NRAMP2
P09790986A0689|41 64|glutathione S-transferase
P09792627A0441|18 26|NF-kappaB
P09792627A0441|48 49|GR
P09792630A1127|148 182|terminal deoxynucleotidyltransferase
P09792702A0754|104 112|HSP70 gene
P09792714A1408|16 19|AF-1
P09792714A1408|134 137|AF-1
P09794414T0000|9 22|protein kinase C
P09794414T0000|43 45|DRA
P09794795A0183|248 252|STAT1
P09794795A0183|319 322|SHP2
P09795213A0129|291 295|TFIID
P09795213A0129|299 313|RNA polymerase II
P09795213A0129|113 117|TFIID
P09797189A0559|47 56|CCAAT motif
P09797456A0000|14 32|c-myc proto-oncogene
P09797456A0883|97 101|c-myc
P09797456A0883|48 52|c-myc
P09798068A0290|21 35|full-length cDNA
P09799086A0725|117 125|HPRT exon 3
P09799237A0624|0 2|SRF
P09799237A0624|21 23|Srf
P09799362A0507|73 104|Asparagine-rich Zinc Finger protein
P09799362A1463|174 205|mitochondrial RNA polymerase mutant
P09799634A0161|34 49|C-terminal domain
P09799793T0000|96 98|EPO
P09800187A0100|210 214|Trp53
P09800187A0100|7 11|Trp53
P09801333A0174|81 84|PA-8
P09802206A1058|110 127|ribosomal protein S7
P09802902A0225|86 89|ARF6
P09804779A0000|50 63|protein kinases
P09804779A1163|32 36|Stat5
P09804836A0000|138 142|CSF-1
P09806546A1270|68 82|MHC-II promoters
P09806826A1773|124 134|murine locus
P09806858T0000|57 64|rnaI gene
P09808155A0813|72 85|nuclear factors
P09811695A1146|103 105|p15
P09811718A0979a|79 85|TCRzeta
P09811730A1396|98 107|KCS protein
P09811730A1396|53 67|nuclear proteins
P09811730T0000|139 171|RNA-dependent protein kinase pkr gene
P09811730T0000|11 20|interferon
P09813041A1122|48 66|Jun N-terminal kinase
P09813063T0000|18 44|murine phospholipase D homolog
P09813093A0624|76 79|GIN4
P09813110A0982|110 125|C-terminal region
P09813203T0000|54 67|HIV-1 gp120 IIIB
P09813207A0434|283 286|lef2
P09813254A0000|75 77|IFN
P09815578A1245|37 41|CDKN2
P09817373A0000|144 162|nitric oxide synthase
P09817373A0000|164 166|NOS
P09819038A0448|0 15|Recombinant FVIIa
P09819110A0703|0 2|CD4
P09819288A0578|44 46|IgE
P09819288A0578|13 15|IgE
P09819288A0578|8 15|serum IgE
P09819391A1123|109 113|ASAP1
P09819411A0897|2 7|DNase I
P09819414A1103|55 68|leptin receptor
P09819422A0768|104 107|Cns1
P09819430A0000|3 20|Ras-related GTPases
P09819440A0000|87 100|RNA polymerases
P09819440A0783|69 81|RNA polymerase
P09820611T0000|48 77|recombinant human erythropoietin
P09822602A0237|221 223|CBP
P09822602A1172|68 70|CBP
P09822647A0000|3 18|rat aldolase C gene
P09822652A1118|72 74|Sp1
P09822685A0596|68 83|N-terminal region
P09823775A1122|84 89|Oct-2A
P09824001A1665|64 66|vWF
P09826434T0000|73 77|PDE3A
P09826778A0943|28 31|p300
P09826778A0943|112 120|COUP-TF II
P09827878A0091|5 25|glutathione peroxidase
P09827878A0091|34 52|superoxide dismutase
P09827878A0091|54 56|SOD
P09827993A0000|39 65|CCHC-type zinc finger proteins
P09829836A0000|107 129|cyclin- dependent kinases
P09829836A0815|47 49|CDK
P09829843A0119|42 44|CSF
P09829843A0819|15 17|CSF
P09829843A0819|131 138|rHu G-CSF
P09829916T0000|88 104|W205 trp-lac fusion
P09829916T0000|12 15|lacZ
P09832436A0738|45 49|PLP-D
P09832504A0596|45 47|Tat
P09832505A0903|57 61|Oct-1
P09833740A1112|140 148|TNF-alpha
P09834070A0793|118 131|protein kinase C
P09834070A0793|176 179|CD19
P09835615A0574|95 96|R1
P09835615A0574|100 101|R2
P09837714A1068|75 79|DdRPA
P09837715A0581|62 93|chloramphenicol acetyltransferase
P09837715A0581|95 97|CAT
P09837715A0581|187 189|CAT
P09837907A0857|128 136|NF-kappaB
P09837907A0857|140 143|AP-1
P09837907A0857|27 30|IL-4
P09837907A0857|64 66|TNF
P09837907A0857|158 178|c-Jun N-terminal kinase
P09837913A0000|16 17|D2
P09837920A0222|121 123|JNK
P09837920A0222|113 117|c-Jun
P09837933T0000|57 99|peptidylglycine alpha-amidating monooxygenase
P09837978T0093|73 75|JNK
P09837978T0093|21 41|c-Jun N-terminal kinase
P09837978T0093|77 80|SAPK
P09837978T0093|43 71|stress-activated protein kinase
P09840932A0365|76 79|Cdk2
P09840943A0144|32 39|cyclin E2
P09843378A0187|86 102|SH3 binding domains
P09843412A0130|44 50|Abeta42
P09843572A0944|93 96|Wee1
P09843572A0944|127 130|Wee1
P09844106A0835|57 67|fibronectin
P09844921A0000|9 37|serine-threonine protein kinase
P09845662A0085|44 58|type III collagen
P09846482A0441|104 108|actin
P09848653A0597|56 74|RNA-binding proteins
P09849965A0000|114 116|hPR
P09852005A1287|247 257|OP4 sequence
P09852068A0150b|41 46|DNase I
P09852136A0174|120 132|hemagglutinin
P09852136A0507|92 94|Rho
P09852752A0950|15 18|ANCA
P09856397A0099|114 116|FB1
P09857197A0289|119 124|RanGTP
P09858531A1017|86 90|c-fos
P09858571T0000|85 105|cis-prenyltransferase
P09858593A0334|63 67|BETA2
P09858599A0392|84 95|HOXA9 domains
P09858619A0356|56 61|ZAP-70
P09858713A1174|72 74|Arm
P09858714A1171|69 75|sigma70
P09858745A1350|167 186|upstream binding sites
P09858745A2033|123 136|clcA transcript
P09860979A0521|78 80|JNK
P09860979A0521|17 19|Cas
P09860979A0521|12 15|p130
P09860979A0521|22 24|Cas
P09860979A0521|124 126|Crk
P09862343A0225|42 45|IL-4
P09862481A0000|19 35|zinc finger protein
P09863624A0629|177 185|human CRF1
P09864141A0528|12 16|Stat3
P09867253A0229|30 34|c-Fos
P09867253A0229|111 114|AP-1
P09867253A0229|78 82|c-Jun
P09867253A0229|4 8|c-Jun
P09869297A1807|56 64|Hoxb1 gene
P09869400A0203|35 53|germin-like proteins
P09872326A0566|57 59|CBF
P09872326A0566|35 37|CBF
P09872832A1262|104 107|IL-6
P09872832A1262|177 185|IFN-gamma
P09872832A1262|147 155|TNF-alpha
P09873060A0901|101 104|JunD
P09873060A0901|108 111|FosB
P09874803A0000|118 121|SpeB
P09878542A1151|77 79|VDR
P09879766A0402|11 19|E1A region
P09880029A0703|226 232|SCSV-C2
P09880103A0387|0 2|MPO
P09880512A1251|74 76|Sp1
P09880544A0693|223 243|wild-type human btk gene
P09881666A0535|53 60|AP-1 site
P09881666A0535|29 36|CREB site
P09881666A0535|77 79|ER2
P09881692A0094|101 116|Ckappa1 gene locus
P09882303A1413|133 135|JNK
P09882303A1984|125 128|CD40
P09882303A1984|45 47|JNK
P09882303T0000|59 61|JNK
P09882303T0000|125 129|TRAF2
P09882321A0948|137 146|EBNA-3 cDNA
P09882348A0611|139 151|viral oncogene
P09882348A0611|56 69|tyrosine kinase
P09882451A0195|94 98|HEM15
P09882499A0231|127 130|Pax6
P09882638A0235|22 29|collagen
P09884232A0286|151 163|integrase gene
P09884275T0000|0 15|Interferon-alpha
P09884747A0477|192 194|IgE
P09886602A0000|270 272|PSA
P09886602A0000|85 87|PSA
P09886843A0339|20 28|human gene
P09886850A0145|125 127|MEK
P09886850A0145|129 131|ERK
P09889202T0000|128 151|helix-turn-helix proteins
P09889306A0321|26 35|Glvr-1 gene
P09891009T0000|18 38|mouse glycolate oxidase
P09891046A0269|89 91|PKR
P09891046A0269|23 25|PKR
P09891046A0554|47 49|PKR
P09891061A1240|62 71|SpEts4 gene
P09891065A1493|86 96|PKC-epsilon
P09891707A0000|43 45|SpA
P09892017A2151|58 61|ELE1
P09892021A0712|82 108|basic fibroblast growth factor
P09892642A0172|35 46|HPV E2 protein
P09892662A0334|115 129|adenylyl cyclase
P09892736A0343|141 144|ORC1
P09892736A0343|20 35|C-terminal region
P09893262A1272|84 91|TGF-beta
P09895323T0000|70 79|Hoxb3 genes
P09914500A0000|175 177|TNF
P09914500A0000|20 28|NF-kappaB
P09914518A1217|113 114|ER
P09914518A1217|84 87|AF-1
P09914518A1217|146 147|E2
P09914525A0890|0 13|Recombinant Ffh
P09915798A1077|12 16|hsp90
P09915798A1077|69 73|hsp90
P09915860A0000|111 117|Sp1 site
P09915860A0119|0 2|Sp1
P09917389A1239|29 38|finP305 RNA
P09917389A1239|80 89|finP305 RNA
P09917389A1239|59 61|GST
P09917555T0001|10 34|hematopoietic growth factor
P09918715A0304|27 33|MotA box
P09918715A1158|116 118|TBP
P09918715A1158|80 82|TBP
P09920903A1045|50 56|p53 gene
P09920930A0521|26 29|RhoA
P09920930A0521|103 107|c-Fos
P09920930A0521|57 59|SRE
P09920930A0959|131 134|AP-1
P09920930A0959|67 70|AP-1
P09920930A0959|177 189|growth factors
P09922230A1482|39 42|CAP1
P09924987A0000|69 81|N-glycosidase
P09925372A0458|83 103|Kruppel-associated box
P09925372A1063|73 80|HFHZ mRNA
P09927193A0107|36 40|BCL-6
P09927449A0421|28 39|alpha-factor
P09927449A0421|96 99|CLN2
P09927570A0507|163 186|E1B 19 kDa and 55 kDa proteins
P09927585A0796|137 139|Sp1
P09927585A0796|102 104|KCS
P09931118A1072|22 24|JNK
P09931435A0357|105 109|ZIS-1
P09931435A0357|70 74|ZIS-1
P09933428A0351|0 8|IFN-gamma
P09949160A0600|199 201|Epo
P09949160A0600|47 49|PKC
P09949178A0264|47 50|IL-6
P09950213A1660|132 140|TbetaRIII
P09950213A1660|99 106|TGF-beta
P09950394A0336|23 39|carboxyhemoglobin
P09952378A0529|92 94|IgG
P09952378A0529|92 104|IgG antibodies
P09971776A0838|22 24|CD4
P09971776A0838|187 202|C-terminal region
P09973607A0254|138 146|Sp100 gene
P09986796A1761|22 32|C terminal 11
P09988682T0033|18 26|human cDNA
P09990060A0803|121 132|CD18 promoter
P09990060A0937|46 49|p300
P09990315A0205|190 192|PKC
P09990315A0205|86 88|PKC
P09990315A0205|146 153|thrombin
P09990315A0205|52 54|PKC
P09990315A0205|37 50|protein kinase C
P09990507A0000|71 72|E3
P09990507A0000|16 24|ubiquitin
P10021350A0093|200 217|Wnt responsive genes
P10022850A0929|88 90|Zta
P10022867A1069a|13 16|ETH1
P10022867A1069b|13 16|ETH1
P10022875A1265|25 27|Ras
P10022880A0000|135 137|Ras
P10022880A0000|46 48|Ras
P10022880A0000|104 114|Ras proteins
P10022905A0446|132 140|mog-1 mRNA
P10022921A0608|17 24|SIN3 gene
P10022925A0870|3 21|Nmd3 protein sequence
P10024882A0541|77 84|RNA pol II
P10024882A0541|71 73|CTD
P10026146A0680|238 264|cAMP-dependent protein kinase
P10026211A0136|59 62|CREB
P10026211A0543|63 66|CREB
P10026211A0543|31 33|EBP
P10026784A0331|95 112|POU DNA binding motif
P10026784A0929|100 114|POU-homeodomain
P10026784A2166|5 9|Oct-1
P10026784A2166|132 135|GTAT
P10026784A2166|108 112|Pit-1
P10026824A0309|191 200|V2 receptor
P10036191A0000|111 114|TFE3
P10036191A0000|121 124|TFEC
P10037460A0221|11 29|muscarinic receptors
P10037681A0494|138 141|RhoA
P10037681A0494|143 152|RhoAVal-14
P10049357A0608|58 60|Ski
P10049357A0608|20 22|Ski
P10049359A1073|48 50|PTB
P10049742T0000|62 64|ZF5
P10050883A0967|70 72|p53
P10051030A1080|71 72|CP
P10051400A0000|3 15|Lp mouse mutant
P10051488A1293|118 123|HMAP-1
P10051488A1293|17 20|AP-1
P10051488A1610|65 70|HMAP-1
P10051488A1610|14 21|AP-1 site
P10064604A0824|41 46|TFIIIA
P10066790A0497|121 124|AP-4
P10066790A0497|101 119|multisubunit complex
P10066798A0391|105 108|pp60
P10066815T0000|137 149|B cell receptor
P10068040A0136|47 55|ubc-9 gene
P10068446A0124|56 58|PKC
P10068446A0124|131 133|PKC
P10068637A1320|18 21|Nkx2
P10068674A0644|49 52|Lyp2
P10071761A2374|145 148|UCP2
P10072774A0537|132 138|Bge cDNA
P10073947A1110|37 41|PAI-1
P10074282A0236|98 104|cGMPase
P10074425A0729|38 41|Cdk2
P10074425A0729|130 136|p27 gene
P10074903A0915|153 162|p21 protein
P10074921A1169|72 74|p53
P10076007A0656|28 40|casein kinase 2
P10077533A0976|72 79|MUL genes
P10078876A0000|211 220|hemoglobin
P10079173A0000|42 69|RNP-type RNA recognition motifs
P10080875A0772|222 226|c-Fos
P10080875A0772|197 201|c-Rel
P10080875A0772|251 256|NF-IL6
P10080875A0772|175 191|NF-kappaB proteins
P10080875A0772|235 238|CREB
P10080875A0772|125 133|NF-kappaB
P10080901A0271|105 122|ribosomal protein L9
P10080901A0271|84 99|N-terminal domain
P10082137A0262|20 28|IFN-gamma
P10082554T0000|19 46|c-myc promoter binding protein 1
P10082573A1015|186 191|DNase I
P10082573A1015|259 268|globin gene
P10084294A0219|103 113|transferrin
P10084294A0219|87 99|serum ferritin
P10084294A0219|35 37|EPO
P10084294A0219|92 99|ferritin
P10085088A0918|111 127|RNA-binding domain
P10085140A1004|48 55|TGF-beta
P10085140A1004|108 111|TAK1
P10085140A1004|24 28|ATF-2
P10085605A0239|65 72|alpha hCG
P10085605A0239|82 84|hCG
P10086544A0504|269 286|neutrophil elastase
P10086725A0000|0 3|MDS1
P10087213A0878|158 180|H. pylori plasmid proteins
P10087993A0782|44 56|delta promoter
P10087993A1352|95 122|beta globin gene flanking region
P10090125A0750|15 20|alpha1
P10090146T0000|107 110|AP-2
P10090535A1194|36 39|apoB
P10091594A0284|195 203|anti-K159
P10094396A0000|61 65|PK CK2
P10094701A0000|68 71|ackA
P10095062A0558|38 66|human topoisomerase IIalpha gene
P10098601A1320|107 118|SF-1 sequence
P10101198A0632|30 47|recombinant protein
P10101198A0632|63 78|N-terminal region
P10102136A0220|16 18|PSA
P10102136A0646|53 55|PSA
P10103002A0705|107 110|gp42
P10103057A0251|96 99|AML1
P10103057A0251|84 93|Runt domain
P10187798A1098|53 55|TNF
P10187798A1098|97 99|TNF
P10187842A1155|134 142|PPARalpha
P10187864A1372|82 85|KCC1
P10190324A0000|17 27|elastin gene
P10191090A0000|29 36|PAX3 gene
P10194451A0000|57 60|p210
P10194451A0000|208 211|p210
